t_host_s,seq,base_us,idx,ax,ay,az,t_dev_us
1762339437.149102,5807,1149599609,13,1787,984,-762,1149615215
1762339437.149102,5807,1149599609,14,1768,1063,-748,1149616415
1762339437.149102,5807,1149599609,15,1761,1137,-748,1149617616
1762339437.149102,5807,1149599609,16,1769,1188,-741,1149618816
1762339437.149102,5807,1149599609,17,1826,1203,-685,1149620017
1762339437.149102,5807,1149599609,18,1910,1256,-599,1149621217
1762339437.149102,5807,1149599609,19,1872,1277,-511,1149622418
1762339437.187542,5808,1149638671,0,1868,1289,-364,1149638671
1762339437.187542,5808,1149638671,1,1905,1311,-232,1149639871
1762339437.187542,5808,1149638671,2,1941,1335,-204,1149641071
1762339437.187542,5808,1149638671,3,1959,1333,-154,1149642272
1762339437.187542,5808,1149638671,4,1938,1306,-141,1149643472
1762339437.187542,5808,1149638671,5,2025,1304,-213,1149644673
1762339437.187542,5808,1149638671,6,1997,1251,-219,1149645873
1762339437.187542,5808,1149638671,7,1916,1212,-286,1149647074
1762339437.187542,5808,1149638671,8,1861,1069,-385,1149648274
1762339437.187542,5808,1149638671,9,1840,941,-398,1149649475
1762339437.187542,5808,1149638671,10,1777,791,-431,1149650675
1762339437.187542,5808,1149638671,11,1698,729,-528,1149651876
1762339437.187542,5808,1149638671,12,1723,683,-550,1149653076
1762339437.187542,5808,1149638671,13,1750,620,-664,1149654277
1762339437.187542,5808,1149638671,14,1768,622,-723,1149655477
1762339437.187542,5808,1149638671,15,1772,614,-812,1149656678
1762339437.187542,5808,1149638671,16,1774,662,-836,1149657878
1762339437.187542,5808,1149638671,17,1731,717,-898,1149659079
1762339437.187542,5808,1149638671,18,1670,742,-957,1149660279
1762339437.187542,5808,1149638671,19,1660,850,-984,1149661480
1762339437.270523,5809,1149677734,0,1608,969,-1022,1149677734
1762339437.270523,5809,1149677734,1,1508,987,-1089,1149678934
1762339437.270523,5809,1149677734,2,1360,1057,-1130,1149680134
1762339437.270523,5809,1149677734,3,1283,1143,-1168,1149681335
1762339437.270523,5809,1149677734,4,1254,1200,-1165,1149682535
