# t,ax,ay,az (t in seconds since start)
1.072207,3366,1638,3648
1.073408,3348,1878,3526
1.074608,3431,1913,3617
1.075809,3500,2008,3350
1.077009,3526,2030,3460
1.078210,3556,2022,3079
1.079410,3569,1945,2777
1.080611,3581,1837,2674
1.081811,3623,1766,2581
1.083012,3638,1699,2470
1.084212,3643,1629,2429
1.085413,3638,1576,2302
1.086613,3633,1552,2144
1.087814,3601,1528,1970
1.089014,3633,1327,1778
1.090215,3710,1354,1555
1.091415,3726,1383,1253
1.105414,3680,1432,1132
1.106615,3764,1578,1018
1.107815,3794,1598,876
1.109016,3765,1998,-1669
1.110216,2022,3352,1720
1.111417,4643,1419,394
1.112617,4027,1856,-237
1.113818,3538,847,203
1.115018,3728,999,-582
1.116219,3639,1000,-892
1.117419,3698,1008,-1139
1.118620,3769,1033,-1397
1.119820,3882,1060,-1878
1.121021,3872,846,-2180
1.122221,3908,608,-2274
1.123422,3919,372,-2096
1.124622,3910,341,-1742
1.125822,3855,362,-1298
1.127023,3852,560,-981
1.128223,3816,970,-436
1.141394,3812,1165,-276
1.142595,3813,1584,-293
1.143795,3844,1765,-337
1.144996,3899,1799,-420
1.146196,3899,1761,-701
1.147397,3890,1697,-840
1.148597,3824,1658,-977
1.149798,3760,1452,-784
1.150998,3751,1322,-617
1.152199,3701,1209,-349
1.153399,3670,1211,-134
1.154599,3653,1243,190
1.155800,3651,1251,65
1.157000,3642,1253,144
1.158201,3648,1239,181
1.159401,3655,1226,248
1.160602,3691,1339,295
1.161802,3783,1405,346
1.163003,3795,1420,411
1.164203,3793,1406,564
1.189525,3762,1381,677
1.190726,3709,1379,806
1.191926,3698,1417,948
1.193127,3688,1411,1140
1.194327,3695,1439,1277
1.195528,3848,1140,1544
1.196728,3959,1438,1681
1.197929,3881,1565,1645
1.199129,3758,1804,1702
1.200330,3725,1962,1805
1.201530,3717,2263,2083
1.202731,3761,2154,2212
1.203931,3759,2133,2275
1.205132,3719,2079,2363
1.206332,3659,2002,2460
1.207533,3598,1885,2600
1.208733,3576,1748,2679
1.209933,3570,1695,3054
1.211134,3520,1565,3662
1.212334,3479,1450,4035
1.245163,3329,1239,4957
1.246364,3176,1082,5781
1.247564,3079,645,6306
1.248764,3056,565,6332
1.249965,2981,934,5820
1.251165,2928,878,5049
1.252366,2944,1079,4809
1.253566,3007,1294,4563
1.254767,3132,1399,4402
1.255967,3247,1643,4043
1.257168,3305,1854,3895
1.258368,3398,1886,3470
1.259569,3459,1956,2994
1.260769,3510,1951,2800
1.261970,3612,1879,2439
1.263170,3671,1847,2271
1.264371,3690,1821,2224
1.265571,3685,1779,2139
1.266772,3792,1640,1965
1.267972,3870,1733,1834
1.302193,3905,1717,1766
1.303393,3843,1807,1709
1.304594,3862,1876,1524
1.305794,3796,1933,1639
1.306995,3936,-699,-1331
1.308195,5432,3705,1354
1.309396,3770,1520,269
1.310596,4111,1233,113
1.311797,3512,1054,180
1.312997,3616,947,-565
1.314198,3337,817,-714
1.315398,3622,878,-939
1.316599,3725,875,-1210
1.317799,3775,877,-1570
1.319000,3746,711,-1620
1.320200,3814,673,-1778
1.321401,3817,583,-1898
1.322601,3808,462,-1933
1.323802,3773,407,-1886
1.325002,3787,437,-1684
1.341772,3834,625,-1429
1.342973,3840,880,-1293
1.344173,3874,1061,-985
1.345374,3933,1402,-647
1.346574,3940,1690,-546
1.347775,3924,1845,-492
1.348975,3900,1882,-780
1.350176,3821,1856,-1015
1.351376,3799,1665,-1023
1.352577,3735,1303,-938
1.353777,3677,1421,-744
1.354978,3687,1348,-639
1.356178,3650,1294,-526
1.357379,3634,1287,-410
1.358579,3630,1270,-313
1.359780,3640,1237,-257
1.360980,3699,1299,-186
1.362181,3737,1358,-95
1.363381,3767,1362,0
1.364582,3765,1344,161
1.341925,3721,1324,352
1.343126,3682,1247,491
1.344326,3669,1207,575
1.345526,3661,1208,807
1.346727,3644,1169,976
1.347927,3676,1010,1006
1.349128,4051,1116,1313
1.350328,3962,1343,1447
1.351529,3775,1530,1489
1.352729,3738,1661,1465
1.353930,3667,1686,1754
1.355130,3680,1767,1973
1.356331,3676,1907,2029
1.357531,3669,1910,2157
1.358732,3605,1909,2215
1.359932,3567,1875,2306
1.361133,3516,1820,2577
1.362333,3487,1752,3013
1.363534,3453,1669,3598
1.364734,3440,1594,3908
1.379395,3331,1517,4508
1.380596,3217,1434,5038
1.381796,3165,1296,5210
1.382997,3157,1262,5329
1.384197,3201,1364,5108
1.385398,3124,1521,4480
1.386598,3054,1422,4176
1.387799,3013,1330,4118
1.388999,3139,1285,4483
1.390200,3193,1477,4614
1.391400,3303,1788,4651
1.392601,3385,1930,4471
1.393801,3436,2120,4083
1.395002,3471,2154,3818
1.396202,3525,2134,3301
1.397403,3537,1980,2962
1.398603,3524,1853,2849
1.399804,3511,1691,2579
1.401004,3593,1573,2239
1.402205,3708,1556,1986
1.418394,3692,1542,1916
1.419594,3742,1620,1704
1.420795,3688,1566,1528
1.421995,3707,1630,1469
1.423196,3826,1643,1239
1.424396,3580,1583,375
1.425597,5063,1592,-409
1.426797,5017,1470,1549
1.427997,3943,1364,330
1.429198,3593,808,720
1.430398,3643,886,456
1.431599,3603,834,121
1.432799,3548,839,51
1.434000,3636,1007,-106
1.435200,3668,1147,-430
1.436401,3706,1057,-734
1.437601,3783,981,-985
1.438802,3776,845,-1132
1.440002,3796,747,-1391
1.441203,3771,674,-1586
1.481112,3829,653,-1630
1.482312,3863,730,-1558
1.483513,3889,830,-1527
1.484713,3924,1016,-1626
1.485914,3958,1147,-1614
1.487114,3986,1173,-1364
1.488315,3980,1154,-961
1.489515,3942,1260,-814
1.490716,3896,1455,-800
1.491916,3852,1561,-918
1.493116,3817,1641,-1137
1.494317,3782,1603,-1254
1.495517,3761,1622,-1477
1.496718,3742,1554,-1459
1.497918,3735,1402,-1381
1.499119,3698,1269,-1194
1.500319,3677,1207,-921
1.501520,3668,1109,-673
1.502720,3655,1047,-559
1.503921,3628,1017,-372
1.520496,3618,1023,-177
1.521697,3631,1026,-153
1.522897,3630,1062,-35
1.524098,3678,1106,-7
1.525298,3765,1239,96
1.526499,3780,1339,221
1.527699,3792,1342,440
1.528900,3756,1302,634
1.530100,3757,1331,761
1.531301,3705,1303,1017
1.532501,3626,1332,1289
1.533702,3632,1508,1594
1.534902,3645,1679,1695
1.536103,3658,2007,1947
1.537303,3732,1936,2242
1.538504,3797,2012,2277
1.539704,4109,2161,2651
1.540905,4049,2265,2936
1.542105,3925,2398,3000
1.543306,3863,2435,3126
1.557742,3739,2323,3589
1.558943,3667,2144,4081
1.560143,3632,1875,4321
1.561344,3494,1640,4783
1.562544,3345,1515,5114
1.563745,3156,1329,5135
1.564945,3079,1103,5179
1.566145,2957,1005,5127
1.567346,2919,898,5025
1.568546,2936,852,5040
1.569747,3002,931,5207
1.570947,3105,1069,5239
1.572148,3149,1436,4949
1.573348,3219,1803,4764
1.574549,3311,1929,4371
1.575749,3510,2026,3930
1.576950,3551,2031,3788
1.578150,3739,1898,3351
1.579351,3822,1835,2937
1.580551,3814,1813,2758
1.611055,3756,1717,2412
1.612256,3669,1705,2073
1.613456,3672,1647,1793
1.614657,3611,1492,1805
1.615857,3671,1450,1517
1.617058,3605,1597,-1222
1.618258,5456,2653,2653
1.619459,4697,1276,1064
1.620659,3950,1510,567
1.621860,3534,818,724
1.623060,3638,892,316
1.624261,3539,880,-36
1.625461,3532,892,-176
1.626662,3589,985,-372
1.627862,3692,1061,-752
1.629063,3664,959,-995
1.630263,3732,840,-1205
1.631464,3765,716,-1232
1.632664,3797,667,-1348
1.633865,3779,593,-1578
1.688388,3789,667,-1714
1.689589,3866,791,-1935
1.690789,3900,840,-2016
1.691990,3961,891,-2026
1.693190,3976,966,-1953
1.694391,3998,1004,-1808
1.695591,3983,1070,-1685
1.696792,3976,1125,-1641
1.697992,3938,1207,-1699
1.699193,3903,1239,-1846
1.700393,3830,1262,-1882
1.701594,3804,1247,-2058
1.702794,3783,1265,-2307
1.703995,3774,1280,-2470
1.705195,3759,1195,-2469
1.706395,3744,1171,-2484
1.707596,3722,1163,-2478
1.708796,3685,1119,-2126
1.709997,3677,1070,-2198
1.711197,3633,768,-2094
1.688553,3630,953,-1843
1.689753,3602,904,-1742
1.690954,3547,880,-1539
1.692154,3502,848,-1317
1.693355,3512,820,-1236
1.694555,3531,902,-1077
1.695756,3639,1000,-958
1.696956,3727,1269,-751
1.698157,3740,1392,-600
1.699357,3731,1404,-319
1.700558,3626,1392,201
1.701758,3334,1382,705
1.702959,3493,1527,847
1.704159,3476,1591,1385
1.705359,3441,1748,1745
1.706560,3459,1951,1874
1.707760,3507,2076,2290
1.708961,3533,2167,2429
1.710161,3983,2041,2572
1.711362,3942,2296,2973
1.688637,3929,2274,2989
1.689838,3860,2343,3018
1.691038,3778,2273,3081
1.692239,3673,2215,3165
1.693439,3608,2076,3447
1.694640,3584,1994,3563
1.695840,3559,1771,4143
1.697041,3481,1685,5071
1.698241,3317,1505,6105
1.699442,3211,1161,6488
1.700642,3013,667,6836
1.701843,2874,486,6779
1.703043,2811,255,6682
1.704244,2752,367,6335
1.705444,2772,513,5755
1.706645,2846,822,5519
1.707845,2919,1149,5365
1.709046,3091,1300,5362
1.710246,3238,1611,5305
1.711447,3282,1839,5184
1.739531,3527,1836,3600
1.740731,3619,1681,3267
1.741932,3714,1541,3202
1.743132,3788,1546,3166
1.744333,3773,1687,2755
1.745533,3664,1880,2629
1.746734,3697,2097,2358
1.747934,3363,2093,22
1.749135,5136,2505,331
1.750335,4839,2226,2273
1.751536,3972,2180,478
1.752736,3508,1406,964
1.753936,3511,1279,773
1.755137,3499,1254,111
1.756337,3413,1159,-121
1.757538,3498,1141,-358
1.758738,3547,1142,-594
1.759939,3607,1031,-979
1.761139,3695,825,-1241
1.762340,3742,675,-1371
1.791500,3787,640,-1704
1.792700,3791,539,-2020
1.793901,3859,491,-2154
1.795101,3936,507,-2283
1.796302,3969,517,-2426
1.797502,4001,516,-2505
1.798702,4005,591,-2541
1.799903,4051,646,-2530
1.801103,4055,749,-2340
1.802304,4072,877,-2211
1.803504,4031,1122,-2123
1.804705,3984,1251,-2169
1.805905,3881,1428,-2299
1.807106,3840,1483,-2369
1.808306,3800,1779,-2545
1.809507,3774,1535,-2517
1.810707,3756,1303,-2434
1.811908,3730,1224,-2282
1.813108,3694,1223,-2217
1.814309,3645,1222,-2192
1.841377,3634,1234,-2128
1.842577,3593,1248,-2194
1.843778,3597,1250,-2282
1.844978,3598,1149,-2284
1.846179,3598,1024,-2297
1.847379,3571,988,-2101
1.848580,3517,844,-1758
1.849780,3500,802,-1638
1.850981,3428,823,-1465
1.852181,3470,894,-1267
1.853382,3477,1006,-1210
1.854582,3526,1115,-985
1.855782,3547,1151,-708
1.856983,3824,1256,-332
1.858183,3670,1413,-198
1.859384,3719,1447,-20
1.860584,3734,1504,411
1.861785,3697,1440,594
1.862985,3600,1405,950
1.864186,3508,1386,1339
1.882012,3519,1430,1747
1.883213,3553,1496,1733
1.884413,3536,1523,1964
1.885614,3715,1384,2149
1.886814,3789,1595,2365
1.888014,3821,2009,2592
1.889215,3755,2013,2578
1.890415,3710,2227,2705
1.891616,3671,2359,3004
1.892816,3672,2421,3252
1.894017,3651,2395,3723
1.895217,3637,2351,4064
1.896418,3571,2296,4848
1.897618,3443,2167,5466
1.898819,3095,1876,5748
1.900019,3182,1509,6102
1.901220,3031,1335,6416
1.902420,2919,1104,6526
1.903621,2898,1068,6480
1.904821,2871,1089,6229
1.918007,2868,1228,5761
1.919207,2897,1442,5521
1.920408,3012,1670,5117
1.921608,3121,1785,4889
1.922809,3248,2014,4794
1.924009,3308,2222,4753
1.925210,3403,2320,4679
